DATETIME,TIME,LON,LAT,DEP,EASTWARD_WIND
"31-DEC-2022",1.07819E+06,85.125,4.875,10,-3  
"31-DEC-2022",1.07819E+06,85.375,4.875,10,-2.95  
"31-DEC-2022",1.07819E+06,85.625,4.875,10,-2.65  
"31-DEC-2022",1.07819E+06,85.875,4.875,10,-2.37  
"31-DEC-2022",1.07819E+06,86.125,4.875,10,-2.5  
"31-DEC-2022",1.07819E+06,86.375,4.875,10,-2.6  
"31-DEC-2022",1.07819E+06,86.625,4.875,10,-2.37  
"31-DEC-2022",1.07819E+06,86.875,4.875,10,-2.29  
"31-DEC-2022",1.07819E+06,87.125,4.875,10,-2.2  
"31-DEC-2022",1.07819E+06,87.375,4.875,10,-2.49  
"31-DEC-2022",1.07819E+06,87.625,4.875,10,-3.26  
"31-DEC-2022",1.07819E+06,87.875,4.875,10,-3.38  
"31-DEC-2022",1.07819E+06,88.125,4.875,10,-3.03  
"31-DEC-2022",1.07819E+06,88.375,4.875,10,-2.97  
"31-DEC-2022",1.07819E+06,88.625,4.875,10,-2.92  
"31-DEC-2022",1.07819E+06,88.875,4.875,10,-2.96  
"31-DEC-2022",1.07819E+06,68.125,5.125,10,-5.22  
"31-DEC-2022",1.07819E+06,68.375,5.125,10,-5.03  
"31-DEC-2022",1.07819E+06,68.625,5.125,10,-4.43  
"31-DEC-2022",1.07819E+06,68.875,5.125,10,-3.8  
"31-DEC-2022",1.07819E+06,69.125,5.125,10,-3.99  
"31-DEC-2022",1.07819E+06,69.375,5.125,10,-5.5  
"31-DEC-2022",1.07819E+06,69.625,5.125,10,-5.95  
"31-DEC-2022",1.07819E+06,69.875,5.125,10,-5.68  
"31-DEC-2022",1.07819E+06,70.125,5.125,10,-5.72  
"31-DEC-2022",1.07819E+06,70.375,5.125,10,-5.85  
"31-DEC-2022",1.07819E+06,70.625,5.125,10,-6.41  
"31-DEC-2022",1.07819E+06,70.875,5.125,10,-6.38  
"31-DEC-2022",1.07819E+06,71.125,5.125,10,-7.11  
"31-DEC-2022",1.07819E+06,71.375,5.125,10,-7.26  
"31-DEC-2022",1.07819E+06,71.625,5.125,10,-7.16  
"31-DEC-2022",1.07819E+06,71.875,5.125,10,-6.05  
"31-DEC-2022",1.07819E+06,72.125,5.125,10,-5.6  
"31-DEC-2022",1.07819E+06,72.375,5.125,10,-5.62  
"31-DEC-2022",1.07819E+06,72.625,5.125,10,-5.94  
"31-DEC-2022",1.07819E+06,72.875,5.125,10,-6.13  
"31-DEC-2022",1.07819E+06,73.125,5.125,10,-6.35  
"31-DEC-2022",1.07819E+06,73.375,5.125,10,-6.32  
"31-DEC-2022",1.07819E+06,73.625,5.125,10,-6.29  
"31-DEC-2022",1.07819E+06,73.875,5.125,10,-6.09  
"31-DEC-2022",1.07819E+06,74.125,5.125,10,-6.04  
"31-DEC-2022",1.07819E+06,74.375,5.125,10,-5.95  
"31-DEC-2022",1.07819E+06,74.625,5.125,10,-5.84  
"31-DEC-2022",1.07819E+06,74.875,5.125,10,-5.58  
"31-DEC-2022",1.07819E+06,75.125,5.125,10,-5.28  
"31-DEC-2022",1.07819E+06,75.375,5.125,10,-5.05  
"31-DEC-2022",1.07819E+06,75.625,5.125,10,-5.02  
"31-DEC-2022",1.07819E+06,75.875,5.125,10,-4.9  
"31-DEC-2022",1.07819E+06,76.125,5.125,10,-4.96  
"31-DEC-2022",1.07819E+06,76.375,5.125,10,-5.01  
"31-DEC-2022",1.07819E+06,76.625,5.125,10,-4.97  
"31-DEC-2022",1.07819E+06,76.875,5.125,10,-4.59  
"31-DEC-2022",1.07819E+06,77.125,5.125,10,-4.3  
"31-DEC-2022",1.07819E+06,77.375,5.125,10,-3.83  
"31-DEC-2022",1.07819E+06,77.625,5.125,10,-2.99  
"31-DEC-2022",1.07819E+06,77.875,5.125,10,-3.25  
"31-DEC-2022",1.07819E+06,78.125,5.125,10,-2.82  
"31-DEC-2022",1.07819E+06,78.375,5.125,10,-2.53  
"31-DEC-2022",1.07819E+06,78.625,5.125,10,-2.85  
"31-DEC-2022",1.07819E+06,78.875,5.125,10,-2.36  
"31-DEC-2022",1.07819E+06,79.125,5.125,10,-2.75  
"31-DEC-2022",1.07819E+06,79.375,5.125,10,-3.49  
"31-DEC-2022",1.07819E+06,79.625,5.125,10,-3.61  
"31-DEC-2022",1.07819E+06,79.875,5.125,10,-4.54  
"31-DEC-2022",1.07819E+06,80.125,5.125,10,-4.94  
"31-DEC-2022",1.07819E+06,80.375,5.125,10,-5.01  
"31-DEC-2022",1.07819E+06,80.625,5.125,10,-5.2  
"31-DEC-2022",1.07819E+06,80.875,5.125,10,-4.74  
"31-DEC-2022",1.07819E+06,81.125,5.125,10,-3.67  
"31-DEC-2022",1.07819E+06,81.375,5.125,10,-2.07  
"31-DEC-2022",1.07819E+06,81.625,5.125,10,-1.11  
"31-DEC-2022",1.07819E+06,81.875,5.125,10,-1.05  
"31-DEC-2022",1.07819E+06,82.125,5.125,10,-0.77  
"31-DEC-2022",1.07819E+06,82.375,5.125,10,-0.62  
"31-DEC-2022",1.07819E+06,82.625,5.125,10,-0.85  
"31-DEC-2022",1.07819E+06,82.875,5.125,10,-1.6  
"31-DEC-2022",1.07819E+06,83.125,5.125,10,-2.28  
"31-DEC-2022",1.07819E+06,83.375,5.125,10,-2.39  
"31-DEC-2022",1.07819E+06,83.625,5.125,10,-2.48  
"31-DEC-2022",1.07819E+06,83.875,5.125,10,-2.27  
"31-DEC-2022",1.07819E+06,84.125,5.125,10,-2.44  
"31-DEC-2022",1.07819E+06,84.375,5.125,10,-2.39  
"31-DEC-2022",1.07819E+06,84.625,5.125,10,-2.35  
"31-DEC-2022",1.07819E+06,84.875,5.125,10,-2.46  
"31-DEC-2022",1.07819E+06,85.125,5.125,10,-2.99  
